labels,text
2,Is there a place where I can get a drink?
2,Tell me where to go for a drink.
2,Can you tell me where to go for a drink?
2,I want to know if there is a place to have a drink.
2,Is there a place that you can go for a drink?
3,When is the next game?
3,When will the next game be?
3,The next game is when.
3,What is the next game?
3,When the next game will be?
3,The next game is when?
3,When the next game is?
3,When is the next game.
3,Is the next game coming?
3,When the next game is.
3,What are the last results?
3,What are the final results?
3,What were the last results?
3,What are the results?
3,What happened the last time?
3,What happened in the last result?
3,What is the last result?
3,What are the outcomes?
3,What are the last results for?
3,What are the results from that point?
3,Where can I play a sport?
3,I don't know where to do a sport.
3,I want to do a sport.
3,Where do I go to play a sport?
3,Where can I play sports?
3,I don't know where to do some sport.
3,I need a place to do some sport.
3,I want to do some sport.
3,I don't know where I can do a sport.
3,I need a place to do a sport.
3,What are the next games?
3,What are the upcoming games?
3,What are the games that are coming up?
3,What are the other games?
3,What are the games coming up?
3,The next games?
3,Who are the next games?
3,What are the games that are next?
3,what are the next games?
3,The next games are not known.
3,Where can I watch the game?
3,I can't find a place to watch the game.
3,Where can I see the game?
3,I want to watch the game.
3,Where do I watch the game?
3,Where can I catch the game?
3,I can't find a place where I can watch the game.
3,I need to watch the game.
3,Where can I view the game?
3,Where can I watch a game?
4,Where is the building?
4,There is a building.
4,Where is the building located?
4,The location of the building.
4,Where is it?
4,The building's location is not known.
4,The building is located somewhere.
4,The building is not where you think it is.
4,The location of the building is not known.
4,Where is it located?
4,Where are the sport courts?
4,There are sport courts.
4,Where is the courts?
4,The sport courts are where they are.
4,The sport courts are located somewhere.
4,Where is the sport courts?
4,The sport courts are not where they should be.
4,The sport courts are not currently located.
4,The sport courts are in the wrong place.
4,Where are the sport courts.
4,Where is the field?
4,The location of the pitch.
4,There is a pitch.
4,Where is the pitch?
4,The pitch is located.
4,The pitch is not known.
4,Where is the field.
4,The pitch is located somewhere.
4,The pitch is where.
4,Where is it?
4,There is a cafeteria.
4,Where is the cafeteria?
4,The cafeteria is located somewhere.
4,The cafeteria is not currently open.
4,The cafeteria is not located there.
4,Where is the cafeteria located?
4,The cafeteria is where I am.
4,Where is the cafeteria.
4,The cafeteria is not located here.
4,Where is the cafeteria
4,I need to visit the departments.
4,I have to go to the departments.
4,I need to go to the departments.
4,I need to get to the departments.
4,I need to see the departments.
4,I need to check out the departments.
4,The departments are where I need to go.
4,I want to go to the departments.
4,I need to go to some departments.
4,I need to go to the departments
4,I need to speak to the professor.
4,I need to speak with the professor.
4,I need to talk to the professor.
4,I need to talk with the professor.
4,I need to talk to a professor.
4,I have to talk to the professor.
4,I have to speak to the professor.
4,I need to speak to a professor.
4,I need to talk to my professor.
4,I need to speak to the professor
4,Where can I get the books?
4,Where can I find the books?
4,Where do I get the books?
4,Where are you able to get the books?
4,Where can I get books?
4,Where do you get the books?
4,Where do I find the books?
4,Where can oi get the books?
4,Where are the books that oi can get?
4,Where can I find books?
4,Where is the aula?
4,Where's the aula?
4,What is the aula?
4,where is the aula?
4,Where is the aula located?
4,Where is the aula.
4,Where does the aula come from?
4,Where does the aula go?
4,Is the aula there?
4,Where is the Aula?
4,Where is the bus stop?
4,There is a bus stop.
4,Where is the bus stop.
4,Where is the bus stop located?
4,Where is the bus stop
4,Where is the bus going?
4,Where does the bus stop go?
4,What is the bus stop?
4,The bus stop is located.
4,Where the bus stop is?
4,What is the location of the parking?
4,Where is the parking?
4,Where are the parking spots?
4,Where are the parking spaces?
4,Where's the parking?
4,Where are the parking places?
4,Where is the parking place?
4,Where is the car parked?
4,Where the parking is?
4,Where is the car?
4,The way to the building.
4,There is a way to the building.
4,It's the way to the building.
4,The road to the building.
4,The way to get to the building.
4,The path to the building.
4,The way to the building
4,The building's way to the entrance.
4,The route to the building.
4,The building's way to it.
4,Where can I get the bus?
4,Where can I catch the bus?
4,Where am I going to get the bus?
4,Where can I get a bus?
4,I need to get the bus.
4,Where do I get the bus?
4,I want to get the bus.
4,Where can I find the bus?
4,Where can I get the bus.
4,Where can I get to the bus?
5,Hello.
5,Hello!
5,I'm Hello.
5,"Hello, I'm here."
5,Hello and welcome to the world.
5,"Hello, I'm new to this."
5,"Hello, I'm new here."
5,I am Hello.
5,"Hello, I'm sorry."
5,"Hello, I'm new to this area."
5,I'm Hi.
5,I am Hi.
5,"Hi, I'm new to this."
5,"Hi, I'm here."
5,Hi.
5,I'm Hi
5,"Hi, I'm interested in this."
5,"Hi, I'm interested."
5,"Hi, I am interested in this."
5,"Hi, I'm interested in learning more."
5,How are you?
5,How are you doing?
5,What are you doing?
5,Are you doing well?
5,Do you know how you are doing?
5,Do you know how you are?
5,Do you know how you're doing?
5,How are things going?
5,What are you doing right now?
5,How are your days?
5,Howdy.
5,Salutations.
5,It's Howdy.
5,I'm Howdy.
5,"Howdy, I'm Howdy."
5,"Excuse me, I'm Howdy."
5,"Salutations, Howdy."
5,"Excuse me, Howdy."
5,"Excuse me, I am Howdy."
5,I am Howdy.
5,It was nice to talk to you.
5,It was nice to chat with you.
5,Nice to talk to you.
5,It was nice to speak to you.
5,Nice to chat with you.
5,It was good to talk to you.
5,It's nice to talk to you.
5,Nice to speak to you.
5,It was great to talk to you.
5,Nice to speak with you.
