labels,text
address,Where is the parking place?
address,Where is the car parked?
address,Where the parking is?
address,Where is the car?
address,The way to the building.
address,There is a way to the building.
address,It's the way to the building.
address,The road to the building.
address,The way to get to the building.
address,The path to the building.
address,The way to the building
address,The building's way to the entrance.
address,The route to the building.
address,The building's way to it.
address,Where can I get the bus?
address,Where can I catch the bus?
address,Where am I going to get the bus?
address,Where can I get a bus?
address,I need to get the bus.
address,Where do I get the bus?
address,I want to get the bus.
address,Where can I find the bus?
address,Where can I get the bus.
address,Where can I get to the bus?
greetings,Hello.
greetings,Hello!
greetings,I'm Hello.
greetings,"Hello, I'm here."
greetings,Hello and welcome to the world.
greetings,"Hello, I'm new to this."
greetings,"Hello, I'm new here."
greetings,I am Hello.
greetings,"Hello, I'm sorry."
greetings,"Hello, I'm new to this area."
greetings,I'm Hi.
greetings,I am Hi.
greetings,"Hi, I'm new to this."
greetings,"Hi, I'm here."
greetings,Hi.
greetings,I'm Hi
greetings,"Hi, I'm interested in this."
greetings,"Hi, I'm interested."
greetings,"Hi, I am interested in this."
greetings,"Hi, I'm interested in learning more."
greetings,How are you?
greetings,How are you doing?
greetings,What are you doing?
greetings,Are you doing well?
greetings,Do you know how you are doing?
greetings,Do you know how you are?
greetings,Do you know how you're doing?
greetings,How are things going?
greetings,What are you doing right now?
greetings,How are your days?
greetings,Howdy.
greetings,Salutations.
greetings,It's Howdy.
greetings,I'm Howdy.
greetings,"Howdy, I'm Howdy."
greetings,"Excuse me, I'm Howdy."
greetings,"Salutations, Howdy."
greetings,"Excuse me, Howdy."
greetings,"Excuse me, I am Howdy."
greetings,I am Howdy.
greetings,It was nice to talk to you.
greetings,It was nice to chat with you.
greetings,Nice to talk to you.
greetings,It was nice to speak to you.
greetings,Nice to chat with you.
greetings,It was good to talk to you.
greetings,It's nice to talk to you.
greetings,Nice to speak to you.
greetings,It was great to talk to you.
greetings,Nice to speak with you.
